19 1 0x01 148 40256 2060366043 199303852534214
name                            type data
hits                            4    2017834
iohits                          4    545
misses                          4    7927
demand_data_hits                4    0
demand_data_iohits              4    0
demand_data_misses              4    0
demand_metadata_hits            4    2016332
demand_metadata_iohits          4    444
demand_metadata_misses          4    7483
prefetch_data_hits              4    0
prefetch_data_iohits            4    0
prefetch_data_misses            4    0
prefetch_metadata_hits          4    1502
prefetch_metadata_iohits        4    101
prefetch_metadata_misses        4    444
mru_hits                        4    1106009
mru_ghost_hits                  4    0
mfu_hits                        4    911825
mfu_ghost_hits                  4    0
uncached_hits                   4    0
deleted                         4    14505
mutex_miss                      4    0
access_skip                     4    0
evict_skip                      4    417048
evict_not_enough                4    0
evict_l2_cached                 4    0
evict_l2_eligible               4    706646016
evict_l2_eligible_mfu           4    12003328
evict_l2_eligible_mru           4    694642688
evict_l2_ineligible             4    2387968
evict_l2_skip                   4    0
hash_elements                   4    1353
hash_elements_max               4    1353
hash_collisions                 4    247
hash_chains                     4    5
hash_chain_max                  4    1
meta                            4    1073741824
pd                              4    2147483648
pm                              4    2147483648
c                               4    128246272
c_min                           4    128246272
c_max                           4    3030138880
size                            4    11328792
compressed_size                 4    1783808
uncompressed_size               4    165144576
overhead_size                   4    8354816
hdr_size                        4    329872
data_size                       4    0
metadata_size                   4    10138624
dbuf_size                       4    84640
dnode_size                      4    674856
bonus_size                      4    34240
anon_size                       4    0
anon_data                       4    0
anon_metadata                   4    0
anon_evictable_data             4    0
anon_evictable_metadata         4    0
mru_size                        4    6852608
mru_data                        4    0
mru_metadata                    4    6852608
mru_evictable_data              4    0
mru_evictable_metadata          4    1323008
mru_ghost_size                  4    0
mru_ghost_data                  4    0
mru_ghost_metadata              4    0
mru_ghost_evictable_data        4    0
mru_ghost_evictable_metadata    4    0
mfu_size                        4    3286016
mfu_data                        4    0
mfu_metadata                    4    3286016
mfu_evictable_data              4    0
mfu_evictable_metadata          4    18432
mfu_ghost_size                  4    0
mfu_ghost_data                  4    0
mfu_ghost_metadata              4    0
mfu_ghost_evictable_data        4    0
mfu_ghost_evictable_metadata    4    0
uncached_size                   4    0
uncached_data                   4    0
uncached_metadata               4    0
uncached_evictable_data         4    0
uncached_evictable_metadata     4    0
l2_ndev                         4    0
l2_hits                         4    0
l2_misses                       4    0
l2_prefetch_asize               4    0
l2_mru_asize                    4    0
l2_mfu_asize                    4    0
l2_bufc_data_asize              4    0
l2_bufc_metadata_asize          4    0
l2_feeds                        4    0
l2_rw_clash                     4    0
l2_read_bytes                   4    0
l2_write_bytes                  4    0
l2_writes_sent                  4    0
l2_writes_done                  4    0
l2_writes_error                 4    0
l2_writes_lock_retry            4    0
l2_evict_lock_retry             4    0
l2_evict_reading                4    0
l2_evict_l1cached               4    0
l2_free_on_write                4    0
l2_abort_lowmem                 4    0
l2_cksum_bad                    4    0
l2_io_error                     4    0
l2_size                         4    0
l2_asize                        4    0
l2_hdr_size                     4    0
l2_log_blk_writes               4    0
l2_log_blk_avg_asize            4    0
l2_log_blk_asize                4    0
l2_log_blk_count                4    0
l2_data_to_meta_ratio           4    0
l2_rebuild_success              4    0
l2_rebuild_unsupported          4    0
l2_rebuild_io_errors            4    0
l2_rebuild_dh_errors            4    0
l2_rebuild_cksum_lb_errors      4    0
l2_rebuild_lowmem               4    0
l2_rebuild_size                 4    0
l2_rebuild_asize                4    0
l2_rebuild_bufs                 4    0
l2_rebuild_bufs_precached       4    0
l2_rebuild_log_blks             4    0
memory_throttle_count           4    0
memory_direct_count             4    0
memory_indirect_count           4    0
memory_all_bytes                4    4103880704
memory_free_bytes               4    1854373888
memory_available_bytes          3    1664633856
arc_no_grow                     4    0
arc_tempreserve                 4    0
arc_loaned_bytes                4    0
arc_prune                       4    0
arc_meta_used                   4    11262232
arc_dnode_limit                 4    303013888
async_upgrade_sync              4    202
predictive_prefetch             4    652
demand_hit_predictive_prefetch  4    107
demand_iohit_predictive_prefetch 4    444
prescient_prefetch              4    1395
demand_hit_prescient_prefetch   4    1241
demand_iohit_prescient_prefetch 4    138
arc_need_free                   4    0
arc_sys_free                    4    189740032
arc_raw_size                    4    0
cached_only_in_progress         4    0
abd_chunk_waste_size            4    66560
